distance_mm,fr_delta,fl_delta
40,3048,3043
45,2508,2494
50,1936,1924
55,1507,1516
60,1196,1231
65,969,1004
70,797,835
75,669,699
80,599,568
85,504,488
90,422,422
95,357,364
100,306,312
105,260,269
110,223,233
